file_size_mb,hour_of_day,transfers_last_hour,mfa_failed_attempts,failed_login_attempts,is_unusual_hour,high_risk_file_type,archive_file_type,integrity_status,unauthorized_attempt,encryption_time_ms,decryption_time_ms,ecdh_time_ms,rsa_key_wrap_time_ms,transfer_status,is_anomaly,anomaly_reason,anomaly_level
49.94,18,3,0,1,0,0,1,verified,0,84.539,33.012,2.282,3.23,completed,0,,none
5.23,15,2,0,0,0,0,0,verified,0,16.175,14.209,2.942,4.542,completed,0,,none
37.75,20,3,0,0,0,0,1,verified,0,49.738,32.096,2.639,4.406,completed,0,,none
13.77,13,3,0,0,0,0,0,verified,0,21.358,18.787,2.239,2.82,completed,0,,none
12.5,10,1,0,0,0,0,1,verified,0,26.494,14.989,0.553,2.464,completed,0,,none
42.67,7,1,0,0,0,0,1,verified,0,55.134,32.212,2.531,2.372,completed,0,,none
767.19,2,9,4,3,1,0,1,failed,0,1780.161,1629.508,3.513,7.811,completed,1,Off-hour massive transfer; repeated auth failures,medium
49.61,21,1,0,0,0,0,1,verified,0,35.608,47.96,1.738,2.964,completed,0,,none
43.51,16,0,0,0,0,0,0,verified,0,40.437,46.014,2.608,4.408,completed,0,,none
37.91,17,3,0,0,0,0,1,verified,0,47.154,44.396,2.211,4.153,completed,0,,none
13.55,11,0,0,0,0,0,1,verified,0,23.799,20.148,1.133,3.777,completed,0,,none
23.83,17,2,0,1,0,0,0,verified,0,36.897,34.276,1.867,1.578,completed,0,,none
42.5,18,0,0,0,0,0,0,verified,0,55.089,40.508,2.961,3.346,completed,0,,none
36.31,20,0,0,0,0,0,0,verified,0,43.871,47.483,2.423,4.534,completed,0,,none
930.6,3,8,1,9,1,0,1,failed,0,1023.971,1118.344,5.452,2.635,blocked,1,Off-hour massive transfer; repeated auth failures,critical
10.25,17,2,0,1,0,0,1,verified,0,21.317,18.535,1.716,2.286,completed,0,,none
844.02,23,5,5,8,1,0,1,failed,0,1604.217,1621.937,3.473,3.179,blocked,1,Off-hour massive transfer; repeated auth failures,high
44.85,21,2,0,0,0,0,1,verified,0,56.004,59.996,0.505,3.159,completed,0,,none
21.79,9,3,0,0,0,0,1,verified,0,34.554,31.036,2.177,4.697,completed,0,,none
35.0,20,1,0,0,0,0,1,verified,0,59.03,48.676,2.033,3.288,completed,0,,none
9.47,15,1,0,1,0,0,0,verified,0,17.481,19.91,1.227,1.401,completed,0,,none
675.26,23,14,2,9,1,1,1,failed,0,696.645,852.54,3.518,4.126,completed,1,Off-hour massive transfer; repeated auth failures,critical
40.29,11,2,0,0,0,0,1,verified,0,32.8,50.466,1.836,2.941,completed,0,,none
41.26,16,2,0,0,0,0,0,verified,0,43.127,60.314,1.612,3.43,completed,0,,none
26.14,15,3,0,1,0,0,1,verified,0,35.471,24.412,2.003,3.943,completed,0,,none
974.91,23,6,4,10,1,1,1,failed,1,2109.945,1252.855,2.537,3.957,completed,1,Off-hour massive transfer; repeated auth failures,high
43.16,18,2,0,0,0,0,1,verified,0,38.877,33.803,1.831,3.631,completed,0,,none
31.78,6,1,0,0,0,0,0,verified,0,49.708,25.595,2.481,4.42,completed,0,,none
41.07,15,3,0,0,0,0,0,verified,0,33.767,40.293,1.858,2.703,completed,0,,none
2.12,20,3,0,0,0,0,1,verified,0,11.984,10.211,2.862,4.527,completed,0,,none
6.83,20,1,0,1,0,0,1,verified,0,17.73,12.278,0.956,3.329,completed,0,,none
41.17,11,3,0,0,0,0,1,verified,0,60.34,32.304,1.186,2.309,completed,0,,none
12.15,17,3,0,0,0,0,1,verified,0,22.915,21.657,1.275,3.925,completed,0,,none
35.52,13,0,0,1,0,0,0,verified,0,42.289,46.001,1.064,2.685,completed,0,,none
49.66,14,1,0,0,0,0,0,verified,0,80.024,47.029,1.291,2.762,completed,0,,none
30.76,12,1,0,0,0,0,0,verified,0,37.876,46.967,1.276,2.508,completed,0,,none
48.2,11,3,0,0,0,0,1,verified,0,76.446,49.065,0.519,1.788,completed,0,,none
11.65,20,2,0,1,0,0,0,verified,0,20.395,16.254,1.628,2.204,completed,0,,none
0.49,18,0,0,0,0,0,1,verified,0,10.43,8.386,1.189,4.16,completed,0,,none
25.72,19,0,0,0,0,0,0,verified,0,34.195,21.745,1.897,3.627,completed,0,,none
39.25,12,1,0,0,0,0,1,verified,0,54.636,58.089,2.853,4.203,completed,0,,none
783.71,23,13,5,8,1,1,1,failed,1,1057.478,1151.415,1.784,3.869,completed,1,Off-hour massive transfer; repeated auth failures,critical
39.9,17,0,0,0,0,0,1,verified,0,56.721,48.017,0.528,2.019,completed,0,,none
11.11,15,3,0,0,0,0,1,verified,0,19.258,15.011,2.628,2.309,completed,0,,none
566.64,2,7,1,3,1,1,1,failed,0,651.069,1228.129,4.217,9.78,completed,1,Off-hour massive transfer; repeated auth failures,medium
693.48,23,9,2,4,1,0,1,verified,0,717.295,1207.382,1.341,8.579,blocked,1,Off-hour massive transfer; repeated auth failures,high
680.89,22,12,2,4,0,0,1,failed,1,1321.366,932.993,3.947,1.605,integrity_failed,1,Off-hour massive transfer; repeated auth failures,high
45.48,7,3,0,0,0,0,1,verified,0,59.458,53.581,2.228,2.422,completed,0,,none
13.13,21,2,0,1,0,0,0,verified,0,19.347,17.27,2.748,4.01,completed,0,,none
43.96,17,3,0,0,0,0,1,verified,0,66.991,39.929,1.187,3.931,completed,0,,none
14.36,19,3,0,0,0,0,0,verified,0,17.527,15.709,1.211,1.532,completed,0,,none
684.01,5,11,3,6,1,0,1,failed,1,851.932,763.76,5.312,2.736,blocked,1,Off-hour massive transfer; repeated auth failures,high
41.25,18,1,0,0,0,0,0,verified,0,31.501,36.619,1.941,2.943,completed,0,,none
23.97,11,1,0,0,0,0,1,verified,0,29.524,31.411,2.006,4.422,completed,0,,none
22.42,8,1,0,0,0,0,1,verified,0,36.456,32.173,2.515,1.505,completed,0,,none
2.14,16,3,0,0,0,0,0,verified,0,12.592,10.391,1.261,4.838,completed,0,,none
7.6,6,1,0,0,0,0,0,verified,0,16.521,11.833,1.631,3.378,completed,0,,none
12.14,7,2,0,0,0,0,1,verified,0,22.615,16.916,2.266,2.859,completed,0,,none
607.49,3,7,1,4,1,0,1,verified,1,1220.173,742.565,1.086,2.832,integrity_failed,1,Off-hour massive transfer; repeated auth failures,medium
31.57,18,3,0,1,0,0,0,verified,0,30.863,37.881,2.712,4.661,completed,0,,none
9.79,17,1,0,0,0,0,0,verified,0,21.97,13.201,0.885,4.297,completed,0,,none
24.3,18,2,0,1,0,0,0,verified,0,43.037,31.213,1.719,4.74,completed,0,,none
14.37,19,2,0,0,0,0,1,verified,0,30.598,17.291,2.552,2.61,completed,0,,none
27.49,10,0,0,0,0,0,1,verified,0,46.337,37.09,1.718,3.697,completed,0,,none
23.67,18,2,0,0,0,0,0,verified,0,25.489,34.389,2.172,3.415,completed,0,,none
18.48,6,1,0,1,0,0,0,verified,0,25.039,30.997,1.933,1.92,completed,0,,none
857.02,22,15,1,3,0,1,1,verified,1,2048.49,1033.47,2.487,1.899,completed,1,Off-hour massive transfer; repeated auth failures,high
34.62,9,1,0,0,0,0,0,verified,0,45.341,27.917,1.958,3.641,completed,0,,none
5.84,9,2,0,0,0,0,1,verified,0,16.696,11.749,0.548,4.866,completed,0,,none
11.8,8,0,0,0,0,0,0,verified,0,21.652,14.667,1.114,2.133,completed,0,,none
30.55,13,1,0,0,0,0,0,verified,0,42.301,42.14,0.98,1.85,completed,0,,none
31.03,19,1,0,0,0,0,1,verified,0,56.395,28.258,0.719,2.737,completed,0,,none
8.15,17,2,0,0,0,0,1,verified,0,16.027,14.781,2.295,4.354,completed,0,,none
750.84,23,10,4,3,1,1,1,failed,0,1863.018,726.138,1.501,5.276,completed,1,Off-hour massive transfer; repeated auth failures,critical
4.41,21,0,0,0,0,0,0,verified,0,13.204,13.3,2.685,2.455,completed,0,,none
934.77,1,7,2,6,1,0,1,failed,1,2263.168,1713.144,5.937,3.275,blocked,1,Off-hour massive transfer; repeated auth failures,medium
4.22,14,2,0,0,0,0,1,verified,0,15.414,11.547,0.962,2.375,completed,0,,none
37.45,18,2,0,0,0,0,1,verified,0,35.533,33.639,1.763,2.692,completed,0,,none
43.62,21,2,0,0,0,0,0,verified,0,57.66,54.766,1.541,4.917,completed,0,,none
29.07,12,1,0,0,0,0,0,verified,0,40.043,36.619,1.172,1.497,completed,0,,none
3.64,7,0,0,0,0,0,1,verified,0,14.171,11.243,2.866,1.879,completed,0,,none
16.42,13,3,0,0,0,0,1,verified,0,26.516,28.224,2.637,1.386,completed,0,,none
43.29,8,3,0,0,0,0,1,verified,0,44.776,52.52,2.33,2.003,completed,0,,none
855.43,23,5,1,5,1,1,1,failed,0,1623.418,1032.423,1.561,4.614,blocked,1,Off-hour massive transfer; repeated auth failures,high
41.79,19,0,0,0,0,0,0,verified,0,51.633,51.348,2.855,4.587,completed,0,,none
15.52,17,0,0,0,0,0,0,verified,0,27.851,22.155,2.054,1.84,completed,0,,none
36.8,18,1,0,0,0,0,1,verified,0,47.284,46.121,0.825,4.494,completed,0,,none
25.57,20,2,0,0,0,0,1,verified,0,28.426,29.093,2.437,1.936,completed,0,,none
18.97,18,0,0,0,0,0,0,verified,0,23.964,23.265,1.364,2.45,completed,0,,none
15.7,10,0,0,0,0,0,1,verified,0,21.276,23.538,2.98,2.216,completed,0,,none
48.66,18,3,0,1,0,0,0,verified,0,47.124,45.954,0.545,4.314,completed,0,,none
40.92,10,0,0,0,0,0,1,verified,0,57.58,51.382,2.468,4.919,completed,0,,none
10.36,7,2,0,1,0,0,0,verified,0,20.314,13.568,1.74,4.645,completed,0,,none
47.31,15,0,0,0,0,0,0,verified,0,45.014,67.784,2.201,4.569,completed,0,,none
19.88,16,0,0,1,0,0,1,verified,0,26.767,20.244,0.538,2.214,completed,0,,none
8.84,8,2,0,0,0,0,1,verified,0,15.68,16.734,2.918,3.521,completed,0,,none
6.46,20,3,0,0,0,0,0,verified,0,18.053,14.828,1.543,2.289,completed,0,,none
34.12,6,0,0,0,0,0,0,verified,0,47.909,39.537,2.228,4.343,completed,0,,none
825.49,22,7,4,8,0,0,1,verified,1,1170.868,918.193,5.617,8.776,completed,1,Off-hour massive transfer; repeated auth failures,critical
43.53,16,2,0,0,0,0,0,verified,0,53.341,53.331,2.392,4.055,completed,0,,none
3.25,9,1,0,0,0,0,1,verified,0,11.996,11.72,1.167,1.513,completed,0,,none
985.28,5,12,3,4,1,1,1,verified,0,2051.625,1289.861,0.602,4.63,blocked,1,Off-hour massive transfer; repeated auth failures,medium
820.78,1,9,3,4,1,0,1,failed,1,1591.496,852.725,2.659,7.973,completed,1,Off-hour massive transfer; repeated auth failures,medium
533.13,3,13,5,4,1,1,1,verified,1,1092.191,1074.649,1.902,2.62,blocked,1,Off-hour massive transfer; repeated auth failures,critical
733.08,0,9,4,9,1,1,1,verified,0,1464.573,920.373,5.044,3.095,completed,1,Off-hour massive transfer; repeated auth failures,medium
541.46,23,7,3,8,1,0,1,verified,0,1132.542,693.833,2.761,6.515,integrity_failed,1,Off-hour massive transfer; repeated auth failures,critical
41.5,10,2,0,0,0,0,1,verified,0,46.641,29.687,2.45,4.64,completed,0,,none
15.02,15,2,0,0,0,0,0,verified,0,31.45,23.906,2.005,4.126,completed,0,,none
7.4,20,3,0,1,0,0,0,verified,0,16.077,12.452,2.591,2.085,completed,0,,none
22.12,8,1,0,1,0,0,0,verified,0,34.741,22.358,1.156,2.342,completed,0,,none
0.54,6,0,0,0,0,0,1,verified,0,10.592,8.567,0.818,4.973,completed,0,,none
34.13,8,3,0,0,0,0,1,verified,0,58.698,32.512,0.849,1.72,completed,0,,none
930.6,5,12,4,4,1,0,1,failed,1,1856.41,980.154,1.897,3.13,integrity_failed,1,Off-hour massive transfer; repeated auth failures,high
2.61,11,0,0,1,0,0,0,verified,0,13.681,10.004,2.962,4.679,completed,0,,none
840.01,2,9,3,9,1,0,1,failed,1,1635.183,1499.023,4.061,5.88,completed,1,Off-hour massive transfer; repeated auth failures,critical
536.18,23,7,3,8,1,1,1,verified,1,1335.448,552.745,5.567,2.823,completed,1,Off-hour massive transfer; repeated auth failures,medium
25.57,13,2,0,0,0,0,1,verified,0,28.291,28.472,2.321,3.01,completed,0,,none
642.22,2,10,4,10,1,1,1,failed,1,1100.194,916.121,5.118,8.455,completed,1,Off-hour massive transfer; repeated auth failures,critical
831.22,23,7,4,3,1,1,1,verified,0,1693.495,1876.427,4.308,6.833,blocked,1,Off-hour massive transfer; repeated auth failures,high
14.79,17,0,0,0,0,0,1,verified,0,27.261,21.567,0.646,3.853,completed,0,,none
44.44,14,1,0,0,0,0,1,verified,0,58.506,61.16,0.649,4.594,completed,0,,none
23.7,8,3,0,1,0,0,1,verified,0,40.845,22.537,2.119,2.508,completed,0,,none
34.86,10,0,0,0,0,0,0,verified,0,61.517,26.709,0.902,2.754,completed,0,,none
47.3,6,1,0,0,0,0,1,verified,0,57.366,32.651,0.911,3.789,completed,0,,none
31.82,8,0,0,1,0,0,1,verified,0,50.765,44.37,2.255,1.788,completed,0,,none
512.32,2,6,1,7,1,1,1,failed,0,506.046,949.328,3.124,6.895,blocked,1,Off-hour massive transfer; repeated auth failures,high
24.3,13,0,0,0,0,0,1,verified,0,46.265,22.56,0.616,1.536,completed,0,,none
2.25,19,1,0,0,0,0,0,verified,0,11.655,9.301,2.9,1.226,completed,0,,none
14.33,15,0,0,0,0,0,1,verified,0,17.27,25.72,2.587,4.338,completed,0,,none
2.62,9,2,0,1,0,0,1,verified,0,11.637,11.119,0.806,3.14,completed,0,,none
0.89,7,2,0,0,0,0,1,verified,0,10.839,8.902,0.854,2.291,completed,0,,none
17.2,10,2,0,1,0,0,1,verified,0,22.695,25.384,2.156,1.917,completed,0,,none
13.16,17,3,0,0,0,0,1,verified,0,25.94,15.745,1.645,3.534,completed,0,,none
29.84,7,1,0,0,0,0,0,verified,0,50.313,29.834,2.002,2.619,completed,0,,none
9.84,13,0,0,0,0,0,1,verified,0,20.395,13.917,0.83,3.726,completed,0,,none
525.8,23,12,1,4,1,0,1,verified,1,847.162,928.376,4.702,2.014,completed,1,Off-hour massive transfer; repeated auth failures,medium
3.75,21,1,0,1,0,0,1,verified,0,13.347,11.067,1.704,4.266,completed,0,,none
10.55,13,2,0,0,0,0,0,verified,0,15.454,18.74,2.208,4.905,completed,0,,none
861.85,22,11,2,9,0,0,1,failed,1,1585.254,1984.703,3.198,2.537,completed,1,Off-hour massive transfer; repeated auth failures,medium
5.82,19,1,0,0,0,0,1,verified,0,17.401,15.345,2.128,1.24,completed,0,,none
899.61,4,5,5,5,1,0,1,failed,0,1693.477,2044.85,4.596,9.975,blocked,1,Off-hour massive transfer; repeated auth failures,high
49.5,20,3,0,0,0,0,0,verified,0,58.793,58.016,2.034,2.388,completed,0,,none
9.49,10,2,0,1,0,0,0,verified,0,17.726,15.127,1.206,4.725,completed,0,,none
881.53,22,14,1,9,0,1,1,failed,1,1079.334,1068.084,4.41,6.965,integrity_failed,1,Off-hour massive transfer; repeated auth failures,high
23.7,15,3,0,1,0,0,1,verified,0,35.344,23.577,2.34,1.236,completed,0,,none
31.77,21,1,0,0,0,0,1,verified,0,43.725,31.917,2.288,3.064,completed,0,,none
49.64,7,1,0,1,0,0,0,verified,0,49.967,67.304,0.809,3.484,completed,0,,none
48.29,17,0,0,0,0,0,1,verified,0,80.335,49.502,2.013,4.877,completed,0,,none
21.17,21,3,0,0,0,0,0,verified,0,39.199,28.548,2.101,4.837,completed,0,,none
31.3,8,2,0,0,0,0,1,verified,0,55.136,27.701,2.214,3.22,completed,0,,none
22.46,14,3,0,0,0,0,1,verified,0,43.13,20.799,2.653,3.555,completed,0,,none
44.05,19,3,0,0,0,0,1,verified,0,45.763,57.192,1.696,2.557,completed,0,,none
927.2,4,8,2,7,1,0,1,failed,1,1362.262,1140.217,5.726,1.697,completed,1,Off-hour massive transfer; repeated auth failures,medium
854.64,22,6,3,9,0,1,1,verified,0,1664.399,1952.156,5.947,3.195,integrity_failed,1,Off-hour massive transfer; repeated auth failures,medium
19.32,17,3,0,0,0,0,1,verified,0,38.469,19.227,2.027,3.833,completed,0,,none
47.35,11,0,0,0,0,0,0,verified,0,49.932,35.983,0.676,3.049,completed,0,,none
852.59,22,14,2,6,0,1,1,verified,0,1984.362,1749.308,0.913,4.677,completed,1,Off-hour massive transfer; repeated auth failures,critical
5.97,16,2,0,0,0,0,0,verified,0,18.468,12.917,2.371,3.218,completed,0,,none
48.02,12,0,0,0,0,0,1,verified,0,51.005,48.227,2.828,3.413,completed,0,,none
6.8,8,0,0,1,0,0,1,verified,0,16.462,16.096,2.158,4.584,completed,0,,none
16.48,12,3,0,0,0,0,0,verified,0,33.149,25.064,2.169,4.517,completed,0,,none
21.39,21,0,0,0,0,0,1,verified,0,33.252,30.619,1.306,2.286,completed,0,,none
17.82,10,3,0,1,0,0,1,verified,0,34.385,23.111,1.242,1.301,completed,0,,none
565.48,3,6,2,6,1,0,1,verified,0,638.823,697.134,3.431,8.506,blocked,1,Off-hour massive transfer; repeated auth failures,medium
540.16,3,7,3,9,1,1,1,failed,1,849.185,833.551,4.131,6.267,completed,1,Off-hour massive transfer; repeated auth failures,high
3.04,14,1,0,1,0,0,1,verified,0,11.551,10.843,1.113,2.246,completed,0,,none
21.36,14,2,0,1,0,0,1,verified,0,39.166,21.992,0.624,3.423,completed,0,,none
1.2,21,3,0,0,0,0,0,verified,0,11.556,8.913,2.132,3.529,completed,0,,none
47.4,9,1,0,1,0,0,0,verified,0,53.471,64.279,0.565,1.734,completed,0,,none
32.17,12,1,0,0,0,0,0,verified,0,38.272,39.166,2.921,2.791,completed,0,,none
14.74,10,1,0,0,0,0,0,verified,0,20.083,20.105,2.392,1.611,completed,0,,none
34.46,15,2,0,0,0,0,1,verified,0,49.792,51.26,2.033,4.836,completed,0,,none
25.08,14,0,0,0,0,0,1,verified,0,40.078,37.474,2.674,2.823,completed,0,,none
16.76,18,1,0,0,0,0,0,verified,0,34.69,28.407,1.472,3.792,completed,0,,none
703.31,0,9,5,8,1,0,1,failed,0,980.429,1615.787,4.886,7.156,blocked,1,Off-hour massive transfer; repeated auth failures,high
36.88,14,1,0,1,0,0,1,verified,0,30.259,51.194,1.259,3.021,completed,0,,none
43.35,17,1,0,1,0,0,0,verified,0,36.494,48.273,2.235,3.198,completed,0,,none
611.84,1,6,1,9,1,1,1,verified,1,806.472,789.019,3.88,2.282,completed,1,Off-hour massive transfer; repeated auth failures,high
644.28,23,7,1,9,1,1,1,failed,1,694.621,1248.246,4.308,9.598,integrity_failed,1,Off-hour massive transfer; repeated auth failures,critical
20.15,10,2,0,1,0,0,0,verified,0,24.96,25.696,1.374,2.982,completed,0,,none
27.79,13,3,0,0,0,0,0,verified,0,32.616,32.937,2.67,3.781,completed,0,,none
26.89,7,0,0,0,0,0,0,verified,0,29.991,33.124,1.409,3.772,completed,0,,none
39.39,9,2,0,0,0,0,1,verified,0,43.609,54.58,2.073,4.473,completed,0,,none
31.3,7,3,0,0,0,0,1,verified,0,27.278,32.962,1.471,3.006,completed,0,,none
623.32,1,13,4,2,1,1,1,verified,0,1109.956,927.302,1.592,9.108,completed,1,Off-hour massive transfer; repeated auth failures,critical
17.29,13,2,0,0,0,0,1,verified,0,33.315,16.921,2.242,4.054,completed,0,,none
46.61,9,2,0,0,0,0,0,verified,0,33.894,34.453,1.665,4.13,completed,0,,none
37.23,6,3,0,0,0,0,0,verified,0,34.371,44.921,2.037,3.146,completed,0,,none
49.62,19,1,0,0,0,0,1,verified,0,51.325,49.141,2.507,2.258,completed,0,,none
26.45,6,0,0,0,0,0,0,verified,0,42.5,38.036,2.421,1.68,completed,0,,none
14.76,10,0,0,0,0,0,1,verified,0,31.101,21.767,2.695,4.47,completed,0,,none
40.17,14,0,0,0,0,0,0,verified,0,54.294,45.377,2.093,4.985,completed,0,,none
4.33,11,3,0,0,0,0,0,verified,0,14.085,13.42,0.518,3.38,completed,0,,none
33.55,21,0,0,0,0,0,1,verified,0,46.344,51.557,1.486,2.664,completed,0,,none
961.0,22,7,3,10,0,1,1,verified,1,1527.625,1236.588,4.333,2.41,blocked,1,Off-hour massive transfer; repeated auth failures,high
976.41,5,14,3,4,1,0,1,verified,0,1738.555,2004.226,5.822,3.626,blocked,1,Off-hour massive transfer; repeated auth failures,medium
36.09,7,2,0,1,0,0,1,verified,0,44.263,47.684,0.638,2.248,completed,0,,none
3.85,6,2,0,1,0,0,1,verified,0,15.726,12.492,2.669,2.924,completed,0,,none
42.01,16,0,0,0,0,0,1,verified,0,70.096,39.887,1.935,4.187,completed,0,,none
16.56,8,0,0,0,0,0,1,verified,0,21.041,25.587,0.804,1.816,completed,0,,none
754.64,4,13,3,7,1,0,1,verified,0,1017.325,1248.346,3.655,8.816,blocked,1,Off-hour massive transfer; repeated auth failures,medium
714.31,23,14,1,4,1,0,1,verified,0,1747.683,1264.601,3.674,7.188,completed,1,Off-hour massive transfer; repeated auth failures,high
522.73,23,8,4,10,1,0,1,verified,0,586.444,916.811,3.489,3.837,blocked,1,Off-hour massive transfer; repeated auth failures,medium
19.61,18,1,0,1,0,0,1,verified,0,25.33,25.88,1.078,1.296,completed,0,,none
7.62,17,1,0,0,0,0,1,verified,0,14.419,13.884,0.787,1.907,completed,0,,none
756.67,1,12,3,9,1,0,1,failed,0,842.292,1261.677,5.096,7.278,blocked,1,Off-hour massive transfer; repeated auth failures,critical
507.17,4,11,2,10,1,0,1,verified,1,1227.876,640.806,3.879,8.172,completed,1,Off-hour massive transfer; repeated auth failures,critical
7.58,17,0,0,1,0,0,0,verified,0,19.646,12.961,1.278,2.426,completed,0,,none
5.93,9,1,0,1,0,0,0,verified,0,13.565,14.07,1.96,1.297,completed,0,,none
48.27,19,3,0,0,0,0,0,verified,0,76.242,32.538,1.273,2.281,completed,0,,none
6.39,18,0,0,0,0,0,0,verified,0,18.51,13.118,2.365,2.519,completed,0,,none
42.26,15,3,0,0,0,0,1,verified,0,50.067,30.98,1.487,4.962,completed,0,,none
31.37,8,1,0,1,0,0,1,verified,0,26.821,40.576,2.232,4.361,completed,0,,none
660.47,22,9,4,6,0,0,1,failed,1,948.35,708.007,5.56,2.052,integrity_failed,1,Off-hour massive transfer; repeated auth failures,medium
17.26,16,0,0,1,0,0,1,verified,0,29.593,19.664,2.968,3.796,completed,0,,none
1.92,21,1,0,0,0,0,1,verified,0,12.021,10.347,0.515,2.766,completed,0,,none
45.4,20,2,0,0,0,0,0,verified,0,44.013,54.111,1.052,4.045,completed,0,,none
24.01,17,3,0,0,0,0,1,verified,0,23.434,25.338,2.555,3.072,completed,0,,none
6.67,8,3,0,0,0,0,1,verified,0,14.208,16.223,2.328,2.089,completed,0,,none
859.93,22,9,3,7,0,0,1,failed,1,2035.848,1356.55,3.349,9.568,blocked,1,Off-hour massive transfer; repeated auth failures,high
14.55,7,2,0,1,0,0,1,verified,0,27.079,17.297,1.116,3.043,completed,0,,none
11.8,11,2,0,0,0,0,1,verified,0,19.985,19.747,1.896,1.552,completed,0,,none
3.4,11,2,0,0,0,0,0,verified,0,12.721,12.244,1.587,1.747,completed,0,,none
26.56,14,2,0,1,0,0,0,verified,0,27.26,39.664,2.074,2.098,completed,0,,none
47.23,8,1,0,0,0,0,1,verified,0,77.663,61.351,1.5,2.205,completed,0,,none
22.77,13,2,0,1,0,0,1,verified,0,32.403,31.328,2.938,2.588,completed,0,,none
1.76,21,1,0,1,0,0,0,verified,0,11.02,10.003,1.834,3.985,completed,0,,none
36.64,7,0,0,0,0,0,1,verified,0,31.932,39.332,2.329,3.621,completed,0,,none
10.67,6,2,0,0,0,0,1,verified,0,17.405,15.847,2.747,3.158,completed,0,,none
38.34,11,3,0,0,0,0,1,verified,0,50.472,51.359,2.06,3.707,completed,0,,none
23.5,17,2,0,1,0,0,1,verified,0,25.12,34.972,1.114,3.443,completed,0,,none
0.45,12,3,0,0,0,0,1,verified,0,10.288,8.425,1.9,1.387,completed,0,,none
33.24,6,2,0,0,0,0,1,verified,0,39.169,45.397,2.14,4.834,completed,0,,none
3.75,13,2,0,0,0,0,1,verified,0,13.101,12.06,1.155,3.815,completed,0,,none
15.62,10,1,0,1,0,0,0,verified,0,20.781,21.545,2.141,4.515,completed,0,,none
30.38,20,2,0,0,0,0,0,verified,0,48.95,41.276,1.268,4.437,completed,0,,none
23.73,19,1,0,0,0,0,1,verified,0,39.473,20.592,2.074,1.527,completed,0,,none
46.44,15,1,0,0,0,0,1,verified,0,44.957,40.242,2.157,3.618,completed,0,,none
41.65,13,2,0,1,0,0,1,verified,0,62.929,44.441,2.624,1.69,completed,0,,none
11.51,12,2,0,0,0,0,0,verified,0,23.533,16.321,1.003,2.206,completed,0,,none
3.94,19,3,0,0,0,0,1,verified,0,11.977,12.833,2.984,1.347,completed,0,,none
47.88,21,0,0,0,0,0,1,verified,0,73.043,67.476,2.027,2.527,completed,0,,none
14.48,15,3,0,1,0,0,0,verified,0,19.814,25.763,1.866,4.445,completed,0,,none
895.57,23,7,3,9,1,1,1,failed,1,2130.862,819.962,1.401,9.934,completed,1,Off-hour massive transfer; repeated auth failures,medium
35.72,12,2,0,0,0,0,0,verified,0,45.775,54.363,2.869,3.038,completed,0,,none
18.22,14,1,0,0,0,0,0,verified,0,30.74,30.268,2.203,3.5,completed,0,,none
18.57,16,1,0,1,0,0,1,verified,0,27.026,29.152,1.611,1.614,completed,0,,none
749.94,2,9,2,2,1,0,1,failed,1,1827.67,937.359,1.447,5.193,completed,1,Off-hour massive transfer; repeated auth failures,medium
